AP,RP,RA,Bairros
Área de Planejamento 1,Região de Planejamento 1.1,I Portuária,Saúde
Área de Planejamento 1,Região de Planejamento 1.1,I Portuária,Gamboa
Área de Planejamento 1,Região de Planejamento 1.1,I Portuária,Santo Cristo
Área de Planejamento 1,Região de Planejamento 1.1,I Portuária,Caju
Área de Planejamento 1,Região de Planejamento 1.1,II Centro,Centro
Área de Planejamento 1,Região de Planejamento 1.1,III Rio Comprido,Catumbi
Área de Planejamento 1,Região de Planejamento 1.1,III Rio Comprido,Rio Comprido
Área de Planejamento 1,Região de Planejamento 1.1,III Rio Comprido,Cidade Nova
Área de Planejamento 1,Região de Planejamento 1.1,III Rio Comprido,Estácio
Área de Planejamento 1,Região de Planejamento 1.1,VII São Cristóvão,São Cristóvão
Área de Planejamento 1,Região de Planejamento 1.1,VII São Cristóvão,Mangueira
Área de Planejamento 1,Região de Planejamento 1.1,VII São Cristóvão,Benfica
Área de Planejamento 1,Região de Planejamento 1.1,VII São Cristóvão,Vasco da Gama
Área de Planejamento 1,Região de Planejamento 1.1,XXI Paquetá,Paquetá
Área de Planejamento 1,Região de Planejamento 1.1,XXIII Santa Teresa,Santa Teresa
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Flamengo
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Glória
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Laranjeiras
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Catete
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Cosme Velho
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Botafogo
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Humaitá
Área de Planejamento 2,Região de Planejamento 2.1,IV Botafogo,Urca
Área de Planejamento 2,Região de Planejamento 2.1,V Copacabana,Leme
Área de Planejamento 2,Região de Planejamento 2.1,V Copacabana,Copacabana
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Ipanema
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Leblon
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Lagoa
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Jardim Botânico
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Gávea
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,Vidigal
Área de Planejamento 2,Região de Planejamento 2.1,VI Lagoa,São Conrado
Área de Planejamento 2,Região de Planejamento 2.1,XXVII Rocinha,Rocinha
Área de Planejamento 2,Região de Planejamento 2.2,VIII Tijuca,Praça da Bandeira
Área de Planejamento 2,Região de Planejamento 2.2,VIII Tijuca,Tijuca
Área de Planejamento 2,Região de Planejamento 2.2,VIII Tijuca,Alto da Boa Vista
Área de Planejamento 2,Região de Planejamento 2.2,IX Vila Isabel,Maracanã
Área de Planejamento 2,Região de Planejamento 2.2,IX Vila Isabel,Vila Isabel
Área de Planejamento 2,Região de Planejamento 2.2,IX Vila Isabel,Andaraí
Área de Planejamento 2,Região de Planejamento 2.2,IX Vila Isabel,Grajaú
Área de Planejamento 3,Região de Planejamento 3.1,X Ramos,Manguinhos
Área de Planejamento 3,Região de Planejamento 3.1,X Ramos,Bonsucesso
Área de Planejamento 3,Região de Planejamento 3.1,X Ramos,Ramos
Área de Planejamento 3,Região de Planejamento 3.1,X Ramos,Olaria
Área de Planejamento 3,Região de Planejamento 3.1,XXX Maré,Maré
Área de Planejamento 3,Região de Planejamento 3.1,XIII Méier,Jacaré
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,São Francisco Xavier
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Rocha
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Riachuelo
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Sampaio
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Engenho Novo
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Lins de Vasconcelos
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Méier
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Todos os Santos
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Cachambi
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Engenho de Dentro
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Água Santa
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Encantado
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Piedade
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Abolição
Área de Planejamento 3,Região de Planejamento 3.2,XIII Méier,Pilares
Área de Planejamento 3,Região de Planejamento 3.2,XXVIII Jacarezinho,Jacarezinho
Área de Planejamento 3,Região de Planejamento 3.3,XIV Irajá,Vila Cosmos
